country	overall_mean	coalition_mean	opposition_mean	difference	opposition_missing
AT	2.155307166334066	2.5510330717517515	1.426819481792717	1.1242135899590346	False
BA	2.3824315987397324	2.744832737817182	2.248732787223741	0.49609995059344136	False
BE	1.8018976843119092	2.1028606742862133	1.4873613786781772	0.6154992956080361	False
BG	2.060341796875	2.335235616883117	1.4754886523199024	0.8597469645632145	False
CZ	2.0431813596491226	2.259114814814815	1.6523583333333332	0.6067564814814819	False
DK	2.070539408438214	2.4215297162219267	1.8440838815779927	0.577445834643934	False
EE	2.356876547385147	2.356876547385147			True
ES	1.9182497410749615	2.773924593606876	1.4322073205539	1.341717273052976	False
ES-CT	1.801279401094161		1.801279401094161		False
ES-GA	1.674222591380454	2.447740470807836	1.0362983882234273	1.4114420825844085	False
ES-PV	2.0365931693396955	2.514448311510591	1.6086050052747651	0.9058433062358258	False
FR	1.796209042772257	2.4904855446355447	1.5094321565792943	0.9810533880562504	False
GB	2.601117856735621	2.9454152954724493	1.5723260731196425	1.3730892223528068	False
GR	2.2749648245192797	2.496334611920725	1.574107165306314	0.9222274466144109	False
HR	2.4966411199722436	1.8426579786718624	2.7787236753440507	-0.9360656966721883	False
HU	2.178994476491579	2.8045606288492606	1.6354207254032516	1.169139903446009	False
IS	2.376405184605573	2.376405184605573			True
IT	2.1850003166324803	2.476618518360295	1.7352100212652848	0.7414084970950101	False
LV	2.840992355164677	2.9633339332907074	2.3162420833333335	0.6470918499573739	False
NL	1.962079075096482	2.204187864249913	1.7857899371885826	0.4183979270613305	False
NO	2.5152008409840194	2.5152008409840194			True
PL	2.403873604729409	2.421901369850712	2.3756107833540248	0.04629058649668716	False
PT	1.7559923684056724	2.1527016927143214	1.4101386872090163	0.7425630055053052	False
RS	1.6575169553711566		1.6575169553711566		False
SE	2.6433982141283603	2.6433982141283603			True
SI	2.452930615722561	2.719881921618185	1.8256073721446298	0.8942745494735551	False
TR	1.7913420943735554	2.3372992964124	1.5416953672739286	0.7956039291384716	False
