country	overall_mean	coalition_mean	opposition_mean
AT	0.047619047619047616	0.047619047619047616	0.047619047619047616
BA	0.0909090909090909	0.047619047619047616	0.047619047619047616
BE	0.05	0.04761904761904763	0.047619047619047616
BG	0.0625	0.047619047619047616	0.047619047619047616
CZ	0.09999999999999999	0.047619047619047616	0.047619047619047616
DK	0.05	0.047619047619047616	0.04761904761904763
EE	0.047619047619047616	0.047619047619047616	0.0
ES	0.049999999999999996	0.047619047619047616	0.047619047619047616
ES-CT	0.049999999999999996	0.0	0.047619047619047616
ES-GA	0.047619047619047616	0.047619047619047616	0.04761904761904763
ES-PV	0.05	0.047619047619047616	0.047619047619047616
FR	0.0588235294117647	0.047619047619047616	0.047619047619047616
GB	0.04999999999999999	0.047619047619047616	0.04761904761904763
GR	0.05263157894736842	0.047619047619047616	0.047619047619047616
HR	0.05	0.047619047619047616	0.047619047619047616
HU	0.05	0.04761904761904763	0.047619047619047616
IS	0.047619047619047616	0.047619047619047616	0.0
IT	0.047619047619047616	0.047619047619047616	0.047619047619047616
LV	0.047619047619047616	0.047619047619047616	0.047619047619047616
NL	0.05555555555555555	0.047619047619047616	0.047619047619047616
NO	0.047619047619047616	0.047619047619047616	0.0
PL	0.05	0.047619047619047616	0.04761904761904763
PT	0.047619047619047616	0.04761904761904763	0.047619047619047616
RS	0.05555555555555555	0.0	0.047619047619047616
SE	0.047619047619047616	0.047619047619047616	0.0
SI	0.047619047619047616	0.047619047619047616	0.04761904761904763
TR	0.05555555555555555	0.04761904761904763	0.04761904761904763
